fly_number,fly_species,fly_sex,cage_number,first_visit,landing_time_1,landing_duration_1,feeding_observed_1,second_visit,landing_time_2,landing_duration_2,feeding_observed_2,third_visit,landing_time_3,landing_duration_3,feeding_observed_3,date,experience,notes
261,C. stygia,M,9,yellow,3.33,2.59,Y,NA,NA,NA,NA,NA,NA,NA,NA,22/07/24,naive,
262,C. stygia,F,1,pink,8.27,2.18,Y,yellow,11.57,0.46,Y,pink,12.49,0.18,Y,22/07/24,naive,
263,C. stygia,F,2,pink,2.04,5.45,Y,pink,13.54,1.05,Y,pink,15.49,0.48,Y,22/07/24,naive,
264,C. stygia,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/07/24,naive,
265,C. stygia,F,4,blue,4.41,1.35,Y,yellow,6.19,1.48,Y,NA,NA,NA,NA,22/07/24,naive,
266,C. stygia,F,5,white,0.45,5.06,Y,NA,NA,NA,NA,NA,NA,NA,NA,22/07/24,naive,
267,C. stygia,M,6,pink,1.49,3.59,Y,NA,NA,NA,NA,NA,NA,NA,NA,22/07/24,naive,
268,C. stygia,M,7,yellow,0.45,16.12,Y,yellow,18.47,0.48,Y,NA,NA,NA,NA,22/07/24,naive,
269,C. stygia,M,8,yellow,0.47,1.48,Y,yellow,3.32,0.1,Y,pink,3.48,0.09,N,22/07/24,naive,
270,C. stygia,M,9,pink,1.32,1.52,Y,NA,NA,NA,NA,NA,NA,NA,NA,22/07/24,naive,
271,C. stygia,M,1,white,3.3,2.45,Y,blue,8.41,3.39,Y,yellow,12.3,1.53,Y,24/07/24,naive,
272,C. stygia,M,2,yellow,1.01,1.04,Y,blue,2.21,1.05,Y,yellow,3.3,0.39,Y,24/07/24,naive,
273,C. stygia,M,3,yellow,2.05,0.27,Y,pink,2.39,3.27,Y,white,6.35,0.12,Y,24/07/24,naive,
274,C. stygia,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
275,C. stygia,F,5,white,1.04,1.53,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
276,C. stygia,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
277,C. stygia,F,7,pink,10.11,1.28,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
278,C. stygia,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
279,C. stygia,M,9,blue,6.1,0.09,N,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
280,C. stygia,F,1,blue,1.35,3.17,Y,pink,5,0.46,Y,blue,5.53,3.05,Y,24/07/24,naive,
281,C. stygia,M,2,pink,2.43,0.39,Y,pink,6.19,3.02,Y,white,9.3,1.54,Y,24/07/24,naive,
282,C. stygia,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
283,C. stygia,M,4,blue,1.43,1.47,Y,white,4.01,1.49,Y,yellow,7.5,0.22,Y,24/07/24,naive,
284,C. stygia,F,5,pink,11.57,3.24,Y,yellow,15.07,2.39,Y,pink,18.48,1.17,Y,24/07/24,naive,
285,C. stygia,F,6,yellow,2.45,2.23,Y,yellow,1.16,1.18,N,white,7.47,0.29,Y,24/07/24,naive,
286,C. stygia,F,7,white,12.59,0.48,Y,white,14.01,0.11,Y,pink,14.2,0.29,Y,24/07/24,naive,
287,C. stygia,M,8,white,0.21,0.28,Y,pink,0.57,0.18,Y,yellow,1.13,4.11,Y,24/07/24,naive,
288,C. stygia,F,9,white,2.17,1.03,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
289,C. stygia,F,1,yellow,1.19,1.45,Y,blue,6.11,2.44,Y,white,8.53,0.14,Y,24/07/24,naive,
290,C. stygia,M,2,yellow,3.47,1.27,Y,blue,5.2,0.31,Y,yellow,5.53,1.09,Y,24/07/24,naive,
291,C. stygia,F,3,pink,6.18,4.15,Y,white,10.38,1.08,Y,NA,NA,NA,NA,24/07/24,naive,
292,C. stygia,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
293,C. stygia,F,5,blue,4.13,4.2,Y,blue,8.37,0.15,Y,yellow,10.1,0.52,Y,24/07/24,naive,
294,C. stygia,F,6,pink,11.02,2.11,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
295,C. stygia,F,7,pink,3.22,2.01,Y,blue,9.53,8.01,N,pink,13.28,0.47,Y,24/07/24,naive,
296,C. stygia,F,8,white,0.41,2.13,Y,pink,5.01,2.38,Y,yellow,6.01,0.05,N,24/07/24,naive,
297,C. stygia,M,9,yellow,0.36,1.46,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
298,C. stygia,F,1,white,0.57,0.16,N,pink,8.56,1.28,Y,blue,10.32,0.18,Y,24/07/24,naive,
299,C. stygia,M,2,white,1.34,2.45,Y,pink,4.25,0.19,Y,white,4.44,0.17,Y,24/07/24,naive,
300,C. stygia,F,3,pink,1.44,3.47,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
301,C. stygia,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
302,C. stygia,F,5,yellow,1.38,0.54,Y,yellow,2.49,0.15,Y,white,4.44,0.14,Y,24/07/24,naive,
303,C. stygia,M,6,blue,0.18,1.28,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
304,C. stygia,F,7,white,3.31,7.44,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
305,C. stygia,M,8,white,3.23,6.31,Y,white,13.53,0.4,Y,pink,14.44,1.2,Y,24/07/24,naive,
306,C. stygia,F,9,pink,11.09,1.45,Y,pink,4,2.25,Y,NA,NA,NA,NA,24/07/24,naive,
307,C. stygia,NA,1,yellow,5.01,2.52,Y,yellow,8.14,9.33,Y,white,17.54,0.17,Y,24/07/24,naive,
308,C. stygia,F,2,white,12.04,3.43,Y,blue,15.58,3.58,Y,NA,NA,NA,NA,24/07/24,naive,
309,C. stygia,M,3,white,9.33,0.45,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
310,C. stygia,M,4,pink,9.56,1.13,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
311,C. stygia,F,5,pink,4.54,1.37,Y,yellow,6.33,1.05,Y,blue,7.39,0.14,Y,24/07/24,naive,
312,C. stygia,M,6,pink,6.45,1.09,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
313,C. stygia,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
314,C. stygia,M,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
315,C. stygia,F,9,pink,3.08,1.01,Y,white,4.24,0.53,Y,blue,12.46,0.21,Y,24/07/24,naive,
316,C. stygia,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/07/24,naive,
317,C. stygia,M,2,white,10.52,0.07,N,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
318,C. stygia,F,3,white,7.5,0.17,Y,pink,8.09,0.18,N,yellow,9.35,0.41,Y,31/07/24,naive,
319,C. stygia,F,4,blue,4.51,1.29,Y,yellow,6.28,1.28,Y,pink,7.55,1.47,Y,31/07/24,naive,
320,C. stygia,F,5,pink,0.59,13.34,N,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
321,C. stygia,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
322,C. stygia,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
323,C. stygia,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
324,C. stygia,F,9,white,3.38,0.51,Y,pink,9.25,0.37,N,NA,NA,NA,NA,31/07/24,naive,
325,C. stygia,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
326,C. stygia,F,2,yellow,8.09,3.41,Y,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
327,C. stygia,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
328,C. stygia,F,4,white,0.07,2.15,Y,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
329,C. stygia,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
330,C. stygia,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
331,C. stygia,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
332,C. stygia,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
333,C. stygia,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/07/24,naive,
334,C. stygia,F,1,blue,18.52,0.17,N,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
335,C. stygia,F,2,blue,6.25,0.24,N,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
336,C. stygia,F,3,yellow,4.25,1.17,Y,white,7.15,0.18,N,pink,8.05,0.23,Y,01/08/24,naive,
337,C. stygia,M,4,blue,0.52,4.06,Y,yellow,5,8.12,Y,NA,NA,NA,NA,01/08/24,naive,
338,C. stygia,F,5,pink,15.19,3.48,Y,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
339,C. stygia,M,6,yellow,11.47,0.14,N,blue,16.2,3.23,Y,NA,NA,NA,NA,01/08/24,naive,
340,C. stygia,F,7,yellow,8.22,10.15,Y,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
341,C. stygia,F,8,yellow,15.05,4.35,Y,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
342,C. stygia,F,9,pink,2.39,0.11,N,pink,3.02,1.3,Y,white,12.09,3.22,Y,01/08/24,naive,
343,C. stygia,F,1,white,0.14,2.16,Y,yellow,7.29,0.16,Y,pink,8.35,0.11,Y,01/08/24,naive,
344,C. stygia,M,2,blue,3.26,2.11,Y,blue,16.12,2.2,Y,blue,19.29,0.23,Y,01/08/24,naive,
345,C. stygia,F,3,pink,6.31,0.21,Y,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
346,C. stygia,F,4,pink,2.53,16.47,Y,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
347,C. stygia,F,5,white,2.01,1.09,Y,blue,3.21,1.44,Y,white,5.15,0.22,Y,01/08/24,naive,
348,C. stygia,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
349,C. stygia,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
350,C. stygia,F,8,white,1.33,1.08,Y,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
351,C. stygia,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/08/24,naive,
352,C. stygia,F,1,blue,0.26,8.26,Y,blue,10.32,0.15,N,pink,14.3,0.18,N,01/08/24,naive,
353,C. stygia,F,2,yellow,0.11,6.09,Y,yellow,12.51,3.33,N,pink,18,0.07,N,01/08/24,naive,
354,E. tenax,M,1,yellow,8.27,0.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
355,E. tenax,F,2,yellow,9.41,6.5,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
356,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
357,E. tenax,M,4,yellow,5.26,,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
358,E. tenax,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
359,E. tenax,F,6,blue,6.29,0.17,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
360,E. tenax,M,7,white,0.08,0.29,Y,white,0.45,1.51,Y,white,7.08,1.24,N,24/09/24,naive,
361,E. tenax,F,8,white,19.53,0.07,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
362,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
363,E. tenax,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
364,E. tenax,F,2,yellow,12.46,0.21,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
365,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
366,E. tenax,M,4,yellow,10.45,2.18,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
367,E. tenax,M,5,yellow,9.08,2.34,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
368,E. tenax,M,6,yellow,8.59,0.18,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
369,E. tenax,F,7,pink,8.34,7.29,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
370,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
371,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
372,E. tenax,F,1,white,13.15,1.13,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
373,E. tenax,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
374,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
375,E. tenax,F,4,yellow,2.19,18.13,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
376,E. tenax,F,5,yellow,4.38,1.42,,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
377,E. tenax,F,6,yellow,1.43,18.1,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
378,E. tenax,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
379,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
380,E. tenax,M,9,yellow,0.39,19.2,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
381,E. tenax,F,1,yellow,0.43,8.07,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
382,E. tenax,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
383,E. tenax,F,3,yellow,12.26,3.14,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
384,E. tenax,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
385,E. tenax,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
386,E. tenax,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
387,E. tenax,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
388,E. tenax,F,8,yellow,0.34,4.56,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
389,E. tenax,M,9,yellow,1.18,18.15,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
390,E. tenax,M,1,yellow,0.5,1.45,Y,yellow,3.35,0.14,Y,pink,3.49,0.24,Y,24/09/24,naive,
391,E. tenax,F,2,yellow,3.2,0.43,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
392,E. tenax,F,3,yellow,0.55,0.53,Y,yellow,10.01,2.25,Y,yellow,13.57,0.27,Y,24/09/24,naive,
393,E. tenax,F,4,white,9.45,1.36,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
394,E. tenax,F,5,yellow,18.59,1,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
395,E. tenax,M,6,yellow,1,11.28,Y,yellow,12.42,0.26,Y,NA,NA,NA,NA,24/09/24,naive,
396,E. tenax,F,7,pink,12.34,1.23,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
397,E. tenax,F,8,blue,7.48,0.03,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
398,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
399,E. tenax,M,1,yellow,0.15,19.16,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
400,E. tenax,F,2,yellow,0.19,6.58,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
401,E. tenax,M,3,yellow,0.46,11.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
402,E. tenax,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
403,E. tenax,F,5,white,0.23,19.12,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
404,E. tenax,M,6,blue,1.56,0.41,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
405,E. tenax,M,7,yellow,10.11,9.28,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
406,E. tenax,F,8,pink,1.37,0.54,Y,yellow,10.57,1.15,Y,NA,NA,NA,NA,24/09/24,naive,
407,E. tenax,F,9,white,0.28,5.21,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
408,E. tenax,F,1,yellow,2.11,12.22,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
409,E. tenax,F,2,yellow,8.56,4.57,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
410,E. tenax,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
411,E. tenax,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
412,E. tenax,M,5,white,16.56,3.05,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
413,E. tenax,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
414,E. tenax,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
415,E. tenax,F,8,yellow,17.46,2.07,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
416,E. tenax,M,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
417,E. tenax,F,1,yellow,13.05,6.58,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
418,E. tenax,M,2,blue,0.56,0.08,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
419,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
420,E. tenax,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
421,E. tenax,F,5,yellow,7.55,1.43,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
422,E. tenax,F,6,yellow,18.16,0.13,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
423,E. tenax,F,7,yellow,1.1,1.53,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
424,E. tenax,F,8,yellow,3.32,1.41,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
425,E. tenax,M,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
426,E. tenax,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
427,E. tenax,M,2,blue,0.13,0.25,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
428,E. tenax,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
429,E. tenax,F,4,blue,2.14,3.19,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
430,E. tenax,M,5,pink,0.11,0.47,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
431,E. tenax,M,6,white,13.36,0.3,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
432,E. tenax,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
433,E. tenax,F,8,yellow,10.02,9.17,Y,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
434,E. tenax,M,9,yellow,8.29,1.46,N,NA,NA,NA,NA,NA,NA,NA,NA,24/09/24,naive,
435,E. tenax,F,1,yellow,5.41,0.36,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
436,E. tenax,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
437,E. tenax,M,3,yellow,19.17,0.42,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
438,E. tenax,M,4,yellow,15.11,0.52,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
439,E. tenax,M,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
440,E. tenax,F,6,yellow,10.31,0.39,N,pink,11.15,3.38,Y,white,18.33,0.42,Y,25/09/24,naive,
441,E. tenax,F,7,yellow,0.14,0.5,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
442,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
443,E. tenax,F,9,yellow,2.14,3.08,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
444,E. tenax,F,1,blue,0.21,1.07,Y,blue,1.34,1.01,Y,pink,2.4,0.27,Y,25/09/24,naive,
445,E. tenax,M,2,yellow,3.48,2.16,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
446,E. tenax,F,3,yellow,14.59,2.16,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
447,E. tenax,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
448,E. tenax,F,5,yellow,0.1,5.25,Y,pink,5.4,3.37,Y,yellow,9.19,0.5,Y,25/09/24,naive,
449,E. tenax,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
450,E. tenax,F,7,yellow,8.3,0.2,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
451,E. tenax,F,8,yellow,2.42,1.11,Y,white,3.58,0.25,Y,yellow,4.4,0.26,Y,25/09/24,naive,
452,E. tenax,M,9,yellow,8.1,5.11,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
453,E. tenax,M,1,yellow,6.33,6.47,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
454,E. tenax,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
455,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
456,E. tenax,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
457,E. tenax,M,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
458,E. tenax,M,6,white,0.51,7.02,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
459,E. tenax,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
460,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
461,E. tenax,F,9,yellow,4,15.59,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
462,E. tenax,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
463,E. tenax,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
464,E. tenax,F,3,blue,14.57,1.1,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
465,E. tenax,F,4,yellow,15.53,3.59,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
466,E. tenax,F,5,blue,2.51,1.15,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
467,E. tenax,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
468,E. tenax,F,7,yellow,0.14,0.42,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
469,E. tenax,F,8,yellow,0.26,0.35,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
470,E. tenax,M,9,yellow,9.3,1.07,Y,yellow,12.38,0.41,Y,NA,NA,NA,NA,25/09/24,naive,
471,E. tenax,F,1,yellow,10.23,4.38,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
472,E. tenax,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
473,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
474,E. tenax,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
475,E. tenax,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
476,E. tenax,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
477,E. tenax,F,7,yellow,19.24,0.24,N,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
478,E. tenax,F,8,yellow,14.49,0.51,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
479,E. tenax,F,9,yellow,13.23,1.13,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
480,E. tenax,M,1,white,0.19,1.37,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
481,E. tenax,F,2,yellow,0.2,0.12,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
482,E. tenax,M,3,yellow,18.59,,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
483,E. tenax,M,4,yellow,5.3,0.18,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
484,E. tenax,M,5,pink,2.4,1.16,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
485,E. tenax,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
486,E. tenax,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
487,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
488,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
489,E. tenax,F,1,yellow,12.48,1.23,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
490,E. tenax,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
